「Heeeeeeeyyy!!」	「おーはーよーーー！」	Heeeeeeeyyy!!	「おっはよーーー！」
I see an annoying girl running toward me from the distance, waving her arms in the air like she's totally oblivious to any attention she might draw to herself.	遠くから鬱陶しい女の子が、宙に手を振りながら周囲の目をまったく気にしない様子で、こちらに走ってくる。	I see an annoying girl running toward me from the distance, waving her arms in the air like she's totally oblivious to any attention she might draw to herself.	遠くから騒がしい女の子が、周囲の目をまったく気にせず、手を振りながらこっちに走ってくる。
That girl is Sayori, my neighbor and good friend since we were children.	あの子はサヨリといって、近所に住んでいる幼馴染だ。	That girl is Sayori, my neighbor and good friend since we were children.	あの子はサヨリといって、近所に住んでいる幼馴染だ。
You know, the kind of friend you'd never see yourself making today, but it just kind of works out because you've known each other for so long?	今友達にしたいとはとても思わないだろうが、それでもうまくいっているのは幼馴染だからなのか。	You know, the kind of friend you'd never see yourself making today, but it just kind of works out because you've known each other for so long?	友達にしたいタイプではないが、それでもうまくいっているのは幼馴染だからか。
We used to walk to school together on days like this, but starting around high school she would oversleep more and more frequently, and I would get tired of waiting up.	こんな日にはよく一緒に登校していたが、高校生になってから彼女の寝坊が多くなり、俺は待つのがだるくなってきた。	We used to walk to school together on days like this, but starting around high school she would oversleep more and more frequently, and I would get tired of waiting up.	よく一緒に登校していたが、高校生になってから彼女の寝坊が多くなり、待つのがだるくなってきた。
But if she's going to chase after me like this, I almost feel better off running away.	こんな風に追いかけて来るなら、もういっそのこと逃げてしまおうかと思う。	But if she's going to chase after me like this, I almost feel better off running away.	こんな風に追いかけて来られるなら、もういっそのこと逃げてしまおうかと思う。
However, I just sigh and idle in front of the crosswalk and let Sayori catch up to me.	でも俺はやれやれと横断歩道の前でサヨリを待った。	However, I just sigh and idle in front of the crosswalk and let Sayori catch up to me.	でも、俺はため息をついて、横断歩道の前でサヨリを待った。
「Haaahhh...haaahhh...」	「はあ……はぁ……」	Haaahhh...haaahhh...	「はあ……はぁ……」
「I overslept again!」	「また寝坊しちゃった！」	I overslept again!	「また寝坊しちゃった！」
「But I caught you this time!」	「でも今度は追いついたからね！」	But I caught you this time!	「でも、今日は追いついたからね！」
「Maybe, but only because I decided to stop and wait for you.」	「そりゃ俺が立ち止まってお前を待ったからだろ」	Maybe, but only because I decided to stop and wait for you.	「そりゃ、俺が立ち止まってお前を待ったからだろ」
「Eeehhhhh, you say that like you were thinking about ignoring me!」	「えええ、まるでわたしを無視するつもりだった様な言い方じゃん！」	Eeehhhhh, you say that like you were thinking about ignoring me!	「えええ、わたしを無視するつもりだったみたいな言い方じゃん！」
