「Hi again, [player]!」	「[player]君、今日も来たのね！」	Hi again, [player]!	「やっほー、[player]君！」
「Glad to see you didn't run away on us. Hahaha!」	「すっぽかされなくて良かったわ、あははっ！」	Glad to see you didn't run away on us. Hahaha!	「すっぽかされなくて良かったわ、あははっ！」
「Nah, don't worry.」	「いや、そんな心配するなって」	Nah, don't worry.	「いや、そんな心配するなって」
「This might be a little strange for me, but I at least keep my word.」	「意外かも知れないが、これでも俺は約束だけは守るタイプなんだ」	This might be a little strange for me, but I at least keep my word.	「意外かもしれないけど、約束だけは守るタイプなんだ」
Well, I'm back at the Literature Club.	そんなこんなで、俺は文芸部へ戻って来た。	Well, I'm back at the Literature Club.	そんなこんなで、俺は文芸部へ再びやってきた。
I was the last to come in, so everyone else is already hanging out.	俺が最後に来たようで、他のみんなはとっくにのんびりとしていた。	I was the last to come in, so everyone else is already hanging out.	俺が最後に来たようで、他のみんなはとっくに到着して、のんびりしていた。
「Thanks for keeping your promise, [player].」	「約束を守っていただいてありがとうございます、[player]さん」	Thanks for keeping your promise, [player].	「約束を守ってくださってありがとうございます、[player]さん」
「I hope this isn't too overwhelming of a commitment for you.」	「あなたに気苦労を負わせていないと良いのですが」	I hope this isn't too overwhelming of a commitment for you.	「あなたに心労を負わせていないと良いのですが」
「Making you dive headfirst into literature when you're not accustomed to it...」	「馴染みがない文学の世界に突然飛び込ませているようなものなので……」	Making you dive headfirst into literature when you're not accustomed to it...	「馴染みがない文芸の世界に、突然飛び込ませているようなものなので……」
「Oh, come on! Like he deserves any slack.」	「もう、なによ！ 甘やかす必要なんてないでしょ」	Oh, come on! Like he deserves any slack.	「もう、何よ！ 甘やかす必要なんてないでしょ」
「Sayori told me you didn't even want to join any clubs this year.」	「サヨリから聞いたけどあんた、今年はどこの部活にも入るつもりがなかったみたいじゃない」	Sayori told me you didn't even want to join any clubs this year.	「サヨリから聞いたけどアンタ、今年はどこの部活にも入るつもりがなかったみたいじゃない」
「And last year, too!」	「それに、去年だって！」	And last year, too!	「て言うか、去年もそうだし！」
「I don't know if you plan to just come here and hang out, or what...」	「あんたはここに来て、ただダラダラ過ごそうと考えているのかもしれないけど……」	I don't know if you plan to just come here and hang out, or what...	「アンタはここで、ただダラダラ過ごそうと考えているのかもしれないけど……」
「But if you don't take us seriously, then you won't see the end of it.」	「真面目にやらないのなら、ここで過ごす時間もそう長くないと思いなさい」	But if you don't take us seriously, then you won't see the end of it.	「真面目にやらないなら、ここで過ごす時間もそう長くないと思いなさい」
「Natsuki, you certainly have a big mouth for someone who keeps her manga collection in the clubroom.」	「ナツキ、部室にマンガコレクションを揃えてる割には大口叩くのね」	Natsuki, you certainly have a big mouth for someone who keeps her manga collection in the clubroom.	「ナツキ、部室にマンガコレクションを揃えてる割には大口叩くのね」
「M-M-M...!!」	「モ……マ……ム……！！」	M-M-M...!!	「マ……モ……カ……！！」
Natsuki finds herself stuck between saying "Monika" and "Manga".	ナツキは『モニカ』と『マンガ』、どちらともつかずの言葉を発しようとしている。	Natsuki finds herself stuck between saying "Monika" and "Manga".	ナツキは『モニカ』と『マンガ』、どちらともつかずの言葉を発しようとしている。
「Manga is literature!!」	「マンガは文学なのっ！！」	Manga is literature!!	「マンガは文学なのっ！！」
Swiftly defeated, Natsuki plops back into her seat.	あっさりと敗北し、ナツキはドサッと席へ戻った。	Swiftly defeated, Natsuki plops back into her seat.	あっさりと敗北し、ナツキはドカッと席へ着いた。
「Don't worry, guys~」	「心配無用だよ、みんな～」	Don't worry, guys~	「心配いらないよ、みんな～」
「[player] always gives it his best as long as he's having fun.」	「[player]は、楽しいことは全力でやるもんね」	[player] always gives it his best as long as he's having fun.	「[player]は、楽しいことは全力でやるもんね」
「He helps me with busywork without me even asking.」	「わたしが頼んでもいないのに、何か手伝ってくれたりするんだよ」	He helps me with busywork without me even asking.	「わたしが頼んでもいないのに、何か手伝ってくれたりするんだよ」
「Like cooking, cleaning my room...」	「料理とか、お部屋の掃除とか……」	Like cooking, cleaning my room...	「料理とか、お部屋の掃除とか……」
「How dependable...」	「頼りになりますね……」	How dependable...	「頼りになりますね……」
「Sayori, that's because your room is so messy it's distracting.」	「サヨリ、それはお前の部屋がすごく汚いからだぞ」	Sayori, that's because your room is so messy it's distracting.	「サヨリ、それはお前の部屋がすごく汚いからだぞ」
