「Phew...」	「ふう……」	Phew...	「ふぅ……」
I guess that's everyone.	これで全員かな。	I guess that's everyone.	これで全員かな。
I glance around the room.	部屋を見回してみる。	I glance around the room.	部屋を見回してみる。
That was a little more stressful than I anticipated.	思ったよりプレッシャーが大きかった。	That was a little more stressful than I anticipated.	思ったよりプレッシャーが大きかった。
It's as if everyone is judging me for my mediocre writing abilities...	まるで俺の文章力の平凡さを査定されているかのような……	It's as if everyone is judging me for my mediocre writing abilities...	まるで俺の文章力の平凡さを査定されているかのような……
Even if they're just being nice, there's no way my poems can stand up to theirs.	良いように言ってくれてたとしても、俺の詩がみんなの出来に届くはずがないのだ。	Even if they're just being nice, there's no way my poems can stand up to theirs.	良いように言ってくれてたとしても、俺の詩がみんなの出来に届くはずがないのだ。
This is a literature club, after all.	なんてったって文芸部なのだから。	This is a literature club, after all.	なんてったって文芸部なのだから。
I sigh.	ため息をつく。	I sigh.	ため息をつく。
I guess that's what I ended up getting myself into.	俺が首を突っ込んだのはこういう場所だったようだ。	I guess that's what I ended up getting myself into.	とんでもないところに首を突っ込んでしまったようだ。
Across the room, Monika is writing something in her notebook.	部室の反対側では、モニカがノートに何かを書き込んでいる。	Across the room, Monika is writing something in her notebook.	向こうの方で、モニカがノートに何かを書き込んでいる。
My eyes land on Yuri and Natsuki.	ユリとナツキに目をやる。	My eyes land on Yuri and Natsuki.	ユリとナツキに目をやる。
They gingerly exchange sheets of paper, sharing their respective poems.	彼女らはそろそろと紙を交換しあい、それぞれの詩を見せている。	They gingerly exchange sheets of paper, sharing their respective poems.	彼女らはそろそろと紙を交換し合い、それぞれの詩を見せ合っている。
As they read in tandem, I watch each of their expressions change.	並んで詩を読みながら、二人の表情が変わっていく様子が見て取れる。	As they read in tandem, I watch each of their expressions change.	並んで詩を読みながら、二人の表情が変わっていく様子が見て取れる。
Natsuki's eyebrows furrow in frustration.	ナツキは苛立ったように眉間にしわを寄せる。	Natsuki's eyebrows furrow in frustration.	ナツキは苛立ったように眉間にしわを寄せる。
