「Hey, did you know I'm vegetarian?」	「そういえば、私ベジタリアンだって言ってたかしら？」	Hey, did you know I'm vegetarian?	「そういえば、私はベジタリアンだって言ったかしら？」
「Ah... I don't mean that like I'm bragging or anything!」	「あっ……別に自慢するつもりとかじゃないわよ！」	Ah... I don't mean that like I'm bragging or anything!	「あっ……別に自慢するつもりとかじゃないわよ！」
「I just thought you'd enjoy a fun fact about me.」	「知ったら面白いんじゃないかな、って思っただけ」	I just thought you'd enjoy a fun fact about me.	「知ったら面白いんじゃないかな、って思っただけ」
「I decided to start a couple years ago after learning more about Earth's climate...」	「数年前に地球の気候について学んでから始めたんだけど……」	I decided to start a couple years ago after learning more about Earth's climate...	「数年前に地球の気候について学んでから始めたんだけど……」
「The carbon footprint of cultivating livestock is just unbelievable.」	「畜産物のカーボンフットプリントが信じられなかったの」	The carbon footprint of cultivating livestock is just unbelievable.	「畜産物のカーボンフットプリントが信じられなかったの」
「Anyway, I decided it's not much of a personal sacrifice to just stop contributing to that whole mess.」	「とにかく、自分にとっても大きな犠牲は払わないし、その問題に貢献するのはやめようって思ったの」	Anyway, I decided it's not much of a personal sacrifice to just stop contributing to that whole mess.	「とにかく、自分にとっても大きな犠牲は払わないし、その問題に貢献するのはやめようって思ったの」
「What, is that so strange of a reason?」	「なに、そんなに変な理由かしら？」	What, is that so strange of a reason?	「なに、そんなに変な理由かしら？」
「Well, I guess a lot of people are more concerned about it being inhumane and all that...」	「まあ、人道的な理由から始める人が大多数だと思うけど……」	Well, I guess a lot of people are more concerned about it being inhumane and all that...	「まあ、人道的な理由から始める人が大多数だと思うけど……」
「I don't really care as much about that part.」	「私は別にそこは気にしてないのよね」	I don't really care as much about that part.	「私は別にそこは気にしてないのよね」
「It's weird, like we only care about killing the things that we personally relate to as a species.」	「だって変じゃない？ みんな生物として共感できる存在のことしか気にしないんだもの」	It's weird, like we only care about killing the things that we personally relate to as a species.	「だって変じゃない？ みんな生物として共感できる存在のことしか気にしないんだもの」
「Most people are fine with killing bugs because they're icky.」	「気持ち悪いからって虫を殺すことは平気な人がほとんどだし」	Most people are fine with killing bugs because they're icky.	「気持ち悪いからって虫を殺すことは平気な人がほとんどだし」
「And of course, we all kill billions of microorganisms daily without even giving it thought.」	「そして、みんな毎日何十億もの微生物を知らない間に殺してるのよ」	And of course, we all kill billions of microorganisms daily without even giving it thought.	「それに、私たちはみんな、毎日何十億もの微生物を知らない間に殺してるのよ」
「But suddenly, if they're just a little bit bigger, it's murder!」	「それなのに、ちょっと大きな生き物の事になると突然殺人犯のような扱い！」	But suddenly, if they're just a little bit bigger, it's murder!	「それなのに、ちょっと大きな生き物のことになると突然殺人犯のような扱い！」
「I mean, what if plants feel some kind of pain too, and we just don't understand it?」	「それに、もしも私たちが知らないだけで、植物も痛みを感じていたら？」	I mean, what if plants feel some kind of pain too, and we just don't understand it?	「それに、もしも私たちが知らないだけで、植物も痛みを感じていたら？」
「What if pulling leaves off a stem feels like someone ripping off your fingers one by one?」	「もし枝から葉っぱを取ることが、指を一本ずつ引きちぎられるような苦痛を伴っていたら？」	What if pulling leaves off a stem feels like someone ripping off your fingers one by one?	「もし枝から葉っぱを取ることが、指を一本ずつ引きちぎられるような苦痛を伴っていたら？」
「I'm just saying, we're a pretty biased species, if you think about it.」	「私が言いたいのは、私たちも随分と勝手な生き物よね、ってこと」	I'm just saying, we're a pretty biased species, if you think about it.	「私が言いたいのは、私たちもずいぶんと勝手な生き物よね、ってこと」
「Anyway, if you ever feel like making a small contribution to the planet, it doesn't hurt to choose veggies once in a while!」	「とにかく、地球に少しでも貢献したくなった時は、たまには肉より野菜を選ぶようにしてみてね！」	Anyway, if you ever feel like making a small contribution to the planet, it doesn't hurt to choose veggies once in a while!	「とにかく、地球に少しでも貢献したくなった時は、たまには肉より野菜を選ぶようにしてみてね！」
「Even if we ever have dinner together, and you just did it for me...that would be really romantic.」	「二人でディナーに行った時にそうしてくれたら……すごくロマンチックよね」	Even if we ever have dinner together, and you just did it for me...that would be really romantic.	「二人でディナーに行った時に、私のためにそうしてくれたら……すごくロマンチックよね」
