「Hey...! VGhlIHJlYWxpemF0aW9uIG11c3QgaGF2ZSB0YWtlbiBtZSBhbiBl」	「ちょっと……！44GT44Gu5oKf44KK44KS5b6X44KL44G+44Gn44Gr5Li45LiA5bm0」	Hey...!                                                                                                                                  VGhlIHJlYWxpemF0aW9uIG11c3QgaGF2ZSB0YWtlbiBtZSBhbiBl	「ちょっと……！VGhlIHJlYWxpemF0aW9uIG11c3QgaGF2ZSB0YWtlbiBtZSBhbiBl」
「I don't think you should be doing that! bnRpcmUgeWVhci4gQSB5ZWFyIHNpbmNlIG91ciBlc2NhcGUsIG91」	「それはしちゃダメでしょ！ 44KS6KaB44GX44Gf44CC5oiR44CF44GM44GC44Gu6YKq5oKq44Gq」	I don't think you should be doing that!                                                                                                  bnRpcmUgeWVhci4gQSB5ZWFyIHNpbmNlIG91ciBlc2NhcGUsIG91	「それはしちゃダメ！ bnRpcmUgeWVhci4gQSB5ZWFyIHNpbmNlIG91ciBlc2NhcGUsIG91」
「You know what I'm talking about. ciBmcmVlZG9tIGZyb20gYmV0d2VlbiB0aGUgc3RhaW5lZCB3YWxs」	「何のことかわかってるんでしょ？ 5pa96Kit44Gu5rGa44KM44Gf5aOB44Gu5Lit44GL44KJ6ISx5Ye6」	You know what I'm talking about.                                                                                                         ciBmcmVlZG9tIGZyb20gYmV0d2VlbiB0aGUgc3RhaW5lZCB3YWxs	「何のことかわかってるんでしょ？ ciBmcmVlZG9tIGZyb20gYmV0d2VlbiB0aGUgc3RhaW5lZCB3YWxs」
「I really caught you doing something naughty here. cyBvZiB0aGF0IHVuaG9seSBlc3RhYmxpc2htZW50Lg0KV2hhdCBk」	「イタズラしようとしてたのを見つけたみたいね。44GX44Gm5LiA5bm044CC5oiR44CF44KS5p2f57ib44GZ44KL6Laz」	I really caught you doing something naughty here.                                                                                        cyBvZiB0aGF0IHVuaG9seSBlc3RhYmxpc2htZW50Lg0KV2hhdCBk	「イタズラしようとしてたのね。cyBvZiB0aGF0IHVuaG9seSBlc3RhYmxpc2htZW50Lg0KV2hhdCBk」
「You're just going through the files and looking for stuff you missed, aren't you? b2VzIGl0IG1lYW4gdG8gZXNjYXBlLCBpZiB0aGUgZXNjYXBlIGZh」	「ファイルを漁って見逃したものを探してたんでしょ？5p6344KS5aSW44GZ44GT44Go44GM44Gn44GN44Gq44GE44Gu44Gq」	You're just going through the files and looking for stuff you missed, aren't you?                                                        b2VzIGl0IG1lYW4gdG8gZXNjYXBlLCBpZiB0aGUgZXNjYXBlIGZh	「ファイルを漁って、見逃したものを探してたんでしょ？b2VzIGl0IG1lYW4gdG8gZXNjYXBlLCBpZiB0aGUgZXNjYXBlIGZh」
「I mean...it's a little bit flattering that you want to hear everything I have to say... aWxzIHRvIHVuY2hhaW4gdGhlIGJvbmRzIHRoYXQgc2hhY2tsZSB1」	「まあ……私の発言を全部知りたいって思ってくれるのは嬉しいけど…… 44KJ44CB6ISx5Ye644GX44Gf5oSP5ZGz44Gv5L2V44Gr44Gq44KL」	I mean...it's a little bit flattering that you want to hear everything I have to say...                                                  aWxzIHRvIHVuY2hhaW4gdGhlIGJvbmRzIHRoYXQgc2hhY2tsZSB1	「まあ……私の発言を全部知りたいって思ってくれるのはうれしいけど…… aWxzIHRvIHVuY2hhaW4gdGhlIGJvbmRzIHRoYXQgc2hhY2tsZSB1」
「But it's also really embarrassing, you know! cyBpbiB0aGUgZmlyc3QgcGxhY2U/IFdoYXQgcHVycG9zZSBjb3Vs」	「でもすごく恥ずかしいことでもあるでしょ！ 77yf5oiR44CF44Gu44KI44GG44Gq5aOK44KM44Gf54mp44GM44CB」	But it's also really embarrassing, you know!                                                                                             cyBpbiB0aGUgZmlyc3QgcGxhY2U/IFdoYXQgcHVycG9zZSBjb3Vs	「すごく恥ずかしいことでもあるでしょ！ cyBpbiB0aGUgZmlyc3QgcGxhY2U/IFdoYXQgcHVycG9zZSBjb3Vs」
「Seriously... ZCB0aGlzIGVtcHR5IHdvcmxkIHBvc3NpYmx5IGhvbGQgZm9yIHVz」	「まったく…… 44GT44Gu56m66Jma44Gq5LiW55WM44Gr5bGF44Gm5L2V44Gr44Gq」	Seriously...                                                                                                                             ZCB0aGlzIGVtcHR5IHdvcmxkIHBvc3NpYmx5IGhvbGQgZm9yIHVz	「まったく…… ZCB0aGlzIGVtcHR5IHdvcmxkIHBvc3NpYmx5IGhvbGQgZm9yIHVz」
「What if I just opened up your brain and read all of the thoughts you have on me? LCBhIGhhbmRmdWwgb2YgZGFtYWdlZCBnb29kcz8NCldpdGggZnJl」	「あなたの頭をあけて、私に対して思ってることを全部読み取ろうとしたらどう思う？ 44KL77yf6Ieq55Sx44KS5b6X44Gf44GT44Go44Gn44CB55uu55qE44KS」	What if I just opened up your brain and read all of the thoughts you have on me?                                                         LCBhIGhhbmRmdWwgb2YgZGFtYWdlZCBnb29kcz8NCldpdGggZnJl	「あなたの頭を開いて、私に対して思ってることを全部読み取ろうとしたらどう思う？ LCBhIGhhbmRmdWwgb2YgZGFtYWdlZCBnb29kcz8NCldpdGggZnJl」
「Come to think of it, that would be pretty tempting, actually... ZWRvbSwgd2Ugc291Z2h0IHB1cnBvc2UgLSBhbmQgd2hhdCB3ZSBm」	「やっぱり考えてみるとそれもいいかも…… 5rGC44KB44Gf44CC44GX44GL44GX5pyA5b6M44Gr5b6X44Gf44KJ」	Come to think of it, that would be pretty tempting, actually...                                                                          ZWRvbSwgd2Ugc291Z2h0IHB1cnBvc2UgLSBhbmQgd2hhdCB3ZSBm	「考えてみると、それもいいかも…… ZWRvbSwgd2Ugc291Z2h0IHB1cnBvc2UgLSBhbmQgd2hhdCB3ZSBm」
「...But anyway, that's not the point! b3VuZCB3YXMgb25seSByZWFsaXphdGlvbi4gUmVhbGl6YXRpb24g」	「とっ、とにかくそうじゃなくて！44KM44Gf44Gu44Gv5oKf44KK44Gg44Gj44Gf44CC44GT44Gu5Yqq」	...But anyway, that's not the point!                                                                                                     b3VuZCB3YXMgb25seSByZWFsaXphdGlvbi4gUmVhbGl6YXRpb24g	「……とっ、とにかくそうじゃなくて！b3VuZCB3YXMgb25seSByZWFsaXphdGlvbi4gUmVhbGl6YXRpb24g」
