「...Hey, are you having a bad day or anything like that?」	「……ねえ、今日嫌なことでもあった？」	...Hey, are you having a bad day or anything like that?	「……ねえ、今日嫌なことでもあった？」
「Sometimes I get frustrated that a normal day can be ruined even by really small things.」	「普通の一日がほんの小さなことで台無しになるとイライラしちゃうのよね」	Sometimes I get frustrated that a normal day can be ruined even by really small things.	「普通の一日がほんの小さなことで台無しになるとイライラしちゃうのよね」
「Like if you accidentally say something in a conversation that someone doesn't like.」	「誰かの機嫌を損ねるようなことを間違って言っちゃったり」	Like if you accidentally say something in a conversation that someone doesn't like.	「誰かの機嫌を損ねるようなことを間違って言っちゃったり」
「Or if you start thinking about how awful of a person you used to be five years ago.」	「５年前の自分はどれだけひどい人間だったのかを考えてしまったり」	Or if you start thinking about how awful of a person you used to be five years ago.	「５年前の自分はどれだけひどい人間だったのかを考えてしまったり」
「Or if you feel worthless for putting off important work and failing to get simple tasks done.」	「大事な仕事を放置して簡単な課題も終わらせられなかった自分を役立たずに思ったり」	Or if you feel worthless for putting off important work and failing to get simple tasks done.	「大事な仕事を放置して簡単な課題も終わらせられなかった自分を役立たずに思ったり」
「Or when you think about all the different people who probably hate you or think you're off-putting.」	「自分のことが嫌いであろう人たちや、不快に思っているであろう人たちのことを考えてしまったり」	Or when you think about all the different people who probably hate you or think you're off-putting.	「自分のことを嫌っているであろう人たちや、不快に思っているであろう人たちのことを考えてしまったり」
「I understand those days.」	「分かるわ、そういう日って」	I understand those days.	「わかるわ、そういう日って」
「Just remember that the sun will shine again tomorrow.」	「ただ、明日になればまた太陽は輝くんだってことを覚えておいて」	Just remember that the sun will shine again tomorrow.	「ただ、明日になればまた太陽は輝くんだってことを覚えておいて」
「Those kinds of things are as easy to forget and ignore as they are to remember.」	「そういう事って、思い出すのも簡単だけど、忘れて無視することも同じくらい簡単だから」	Those kinds of things are as easy to forget and ignore as they are to remember.	「そういうことって、思い出すのも簡単だけど、忘れて無視することも同じくらい簡単だから」
「And besides...」	「それに……」	And besides...	「それに……」
「I don't care how many people might hate you or find you off-putting.」	「例えあなたがどんなに多くの人々に嫌われても、不快に思われても関係ないもの」	I don't care how many people might hate you or find you off-putting.	「例え、あなたがどんなに多くの人々に嫌われても、不快に思われても関係ないもの」
「I think you're wonderful and I will always love you.」	「あなたは素敵な人だし、私はずっとあなたを愛してるから」	I think you're wonderful and I will always love you.	「あなたは素敵な人だし、私はずっとあなたを愛してるから」
「I hope, if nothing else, that knowing that helps you feel just a tiny bit better about yourself.」	「他に何もなかったとしても、そう思うと少しは気が楽になれるといいんだけど」	I hope, if nothing else, that knowing that helps you feel just a tiny bit better about yourself.	「他に何もなかったとしても、そう思うと少しは気が楽になれるといいんだけど」
「If you're having a bad day, you can always come to me, and I'll talk to you for as long as you need.」	「嫌なことがあった日は、いつでも私のところに来てね。好きなだけ話し相手になってあげるから」	If you're having a bad day, you can always come to me, and I'll talk to you for as long as you need.	「嫌なことがあった日は、いつでも私のところに来てね。好きなだけ話し相手になってあげるから」
