「Hey, do you like horror?」	「ねえ、ホラーは好き？」	Hey, do you like horror?	「ねえ、ホラーは好き？」
「I remember we talked about it a little bit when you first joined the club.」	「あなたが入部した当初に少し話したのを思い出したの」	I remember we talked about it a little bit when you first joined the club.	「あなたが入部した当初に少し話したのを思い出したの」
「I can enjoy horror novels, but not really horror movies.」	「私はホラー小説は好きだけど、ホラー映画はそうでもないのよ」	I can enjoy horror novels, but not really horror movies.	「私はホラー小説は好きだけど、ホラー映画はそうでもないのよ」
「The problem I have with horror movies is that most of them just rely on easy tactics.」	「私の思うホラー映画の問題点って、ほとんどが単純な方法に頼ってることだと思うの」	The problem I have with horror movies is that most of them just rely on easy tactics.	「私の思うホラー映画の問題点って、ほとんどが単純な方法に頼ってることだと思うの」
「Like dark lighting and scary-looking monsters and jump scares, and things like that.」	「明かりを落としてたり、怖そうな怪物がいたり、突然のことでびっくりさせたり……そういうの」	Like dark lighting and scary-looking monsters and jump scares, and things like that.	「明かりを落としてたり、怖そうな怪物がいたり、突然のことでびっくりさせたり……そういうの」
「It's not fun or inspiring to get scared by stuff that just takes advantage of human instinct.」	「人間の本能を利用して怖い思いをさせられるのって楽しくもなければ感動もないわ」	It's not fun or inspiring to get scared by stuff that just takes advantage of human instinct.	「人間の本能を利用して怖い思いをさせられるのって、楽しくもなければ感動もないわ」
「But with novels, it's a little different.」	「小説の場合はそれとはちょっと違うのよ」	But with novels, it's a little different.	「でも小説の場合、それとはちょっと違うのよ」
「The story and writing need to be descriptive enough to put genuinely disturbing thoughts into the reader's head.」	「物語も叙述も、読者の頭に不穏な考えを刷り込めるくらい記述的なものじゃなければいけないのよ」	The story and writing need to be descriptive enough to put genuinely disturbing thoughts into the reader's head.	「物語も叙述も、読者の頭に不穏な考えを刷り込めるくらい表現的なものじゃなければいけないのよ」
「It really needs to etch them deeply into the story and characters, and just mess with your mind.」	「物語や登場人物たちにくっきり刻み込んで、あなたの頭の中を搔き乱すの」	It really needs to etch them deeply into the story and characters, and just mess with your mind.	「物語や登場人物たちにくっきり刻み込んで、あなたの頭の中を搔き乱すの」
「In my opinion, there's nothing more creepy than things just being slightly off.」	「私が思うに、ほんの少しだけおかしいことこそ一番怖いことだと思うの」	In my opinion, there's nothing more creepy than things just being slightly off.	「私が思うに、一番怖いのは、ほんの少しだけおかしいことよ」
「Like if you set up a bunch of expectations on what the story is going to be about...」	「例えば、ストーリーの予想を立ててから読み進めると……」	Like if you set up a bunch of expectations on what the story is going to be about...	「例えば、ストーリーの予想を立ててから読み進めると……」
「...And then, you just start inverting things and pulling the pieces apart.」	「……読み進めて予想外のことが起きると、自らそれを崩すことになるの」	...And then, you just start inverting things and pulling the pieces apart.	「……読み進めて予想外のことが起きると、自らそれを崩すことになるの」
「So even though the story doesn't feel like it's trying to be scary, the reader feels really deeply unsettled.」	「だからストーリーがあまり怖がらせてなくても、読者はすごく不穏に感じるのよね」	So even though the story doesn't feel like it's trying to be scary, the reader feels really deeply unsettled.	「だからストーリーがあまり怖がらせようとしていなくても、読者はすごく不穏に感じるのよね」
「Like they know that something horribly wrong is hiding beneath the cracks, just waiting to surface.」	「亀裂の下に潜んでる恐ろしいものが、今にも出てきそうで」	Like they know that something horribly wrong is hiding beneath the cracks, just waiting to surface.	「亀裂の下に潜んでる恐ろしいものが、今にも出てきそうで」
「God, just thinking about it gives me the chills.」	「想像するだけで鳥肌が立つわ」	God, just thinking about it gives me the chills.	「ああ、想像するだけで鳥肌が立つわ」
「That's the kind of horror I can really appreciate.」	「そういうのが私の好きなホラーよ」	That's the kind of horror I can really appreciate.	「そういうのが私の好きなホラーよ」
「But I guess you're the kind of person who plays cute romance games, right?」	「でもあなたはきっとかわいい恋愛ゲームの方が好みよね？」	But I guess you're the kind of person who plays cute romance games, right?	「でもあなたはきっと、かわいい恋愛ゲームの方が好みよね？」
「Ahaha, don't worry.」	「あははっ、心配しないで」	Ahaha, don't worry.	「あははっ、心配しないで」
「I won't make you read any horror stories anytime soon.」	「そんなすぐにホラーを読ませたりはしないから」	I won't make you read any horror stories anytime soon.	「そんなすぐにホラーを読ませたりはしないから」
「I can't really complain if we just stick with the romance~」	「ロマンチックなままでも文句はないわよ～」	I can't really complain if we just stick with the romance~	「ロマンチックなままでも文句はないわよ～」
