「You know what's a neat form of literature?」	「文学の面白い形って何か知ってる？」	You know what's a neat form of literature?	「文学の面白い形って何か知ってる？」
「Rap!」	「ラップよ！」	Rap!	「ラップよ！」
「I actually used to hate rap music...」	「実は私、前までラップ嫌いだったの……」	I actually used to hate rap music...	「実は私、前までラップ嫌いだったの……」
「Maybe just because it was popular, or I would only hear the junk they play on the radio.」	「大衆向けだからか、あるいはラジオでかかる曲しか聞かなかったからかもしれないわ」	Maybe just because it was popular, or I would only hear the junk they play on the radio.	「大衆向けだからか、もしくはラジオでかかる曲しか聞かなかったからかもね」
「But some of my friends got more into it, and it helped me keep an open mind.」	「でも友達が何人かハマってから、偏見を持たなくなったの」	But some of my friends got more into it, and it helped me keep an open mind.	「でも友達が何人かハマってから、偏見を持たなくなったの」
「Rap might even be more challenging than poetry, in some ways.」	「ラップってある意味詩を書くことより難しい部分もあるかもしれないわ」	Rap might even be more challenging than poetry, in some ways.	「ラップってある意味詩を書くことより難しい部分もあるかもしれないわ」
「Since you need to fit your lines to a rhythm, and there's much more emphasis on wordplay...」	「詩をリズムに乗せないといけないし、しゃれが重要だし……」	Since you need to fit your lines to a rhythm, and there's much more emphasis on wordplay...	「詩をリズムに乗せないといけないし、しゃれが重要だし……」
「When people can put all that together and still deliver a powerful message, it's really amazing.」	「それを全部一つにして、心を動かすメッセージを作り出すのって、すごいことだと思うの」	When people can put all that together and still deliver a powerful message, it's really amazing.	「それを全部一つにして、心を動かすメッセージをつくり出すのって、すごいことだと思うの」
「I kind of wish I had a rapper in the Literature Club.」	「文芸部にもラッパーがいればよかったのに、ってちょっと思うわ」	I kind of wish I had a rapper in the Literature Club.	「文芸部にもラッパーがいればよかったのに、ってちょっと思うわ」
「Ahaha! Sorry if that sounds silly, but it would be really interesting to see what they came up with.」	「あははっ！ ちょっとおかしいかもしれないけど、どんな詩を書くのか興味深かったと思うの」	Ahaha! Sorry if that sounds silly, but it would be really interesting to see what they came up with.	「あははっ！ ちょっとおかしいかもしれないけど、どんな詩を書くのか興味深かったと思うの」
「It would really be a learning experience!」	「きっと学ぶことはいっぱいあったと思うわ！」	It would really be a learning experience!	「きっと学ぶことはいっぱいあったと思うわ！」
