「I hate how hard it is to form habits...」	「習慣を身につけるのって、難しくて嫌になっちゃう……」	I hate how hard it is to form habits...	「習慣を身につけるのって、難しくて嫌になっちゃう……」
「There's so much stuff where actually doing it isn't hard, but forming the habit seems impossible.」	「簡単なことでも、習慣化しようとすると途端に無謀に感じることがいっぱいあるの」	There's so much stuff where actually doing it isn't hard, but forming the habit seems impossible.	「簡単なことでも、習慣化しようとすると途端に無謀に感じることがいっぱいあるの」
「It just makes you feel so useless, like you can't do anything right.」	「何も上手くできない役立たずの気分になっちゃう」	It just makes you feel so useless, like you can't do anything right.	「何もうまくできない役立たずの気分になっちゃう」
「I think the new generation suffers from it the most...」	「今の世代が特にこの気持ちで苦しんでると思うわ……」	I think the new generation suffers from it the most...	「今の世代が特にこの気持ちで苦しんでると思うわ……」
「Probably because we have a totally different set of skills than those who came before us.」	「きっと今までの世代とは全く違うスキルを持ってるからでしょうね」	Probably because we have a totally different set of skills than those who came before us.	「きっと今までの世代とはまったく違うスキルを持っているからでしょうね」
「Thanks to the internet, we're really good at sifting through tons of information really quickly...」	「インターネットのおかげで、私たちは膨大な量の情報をすぐに選別するのは得意だけど……」	Thanks to the internet, we're really good at sifting through tons of information really quickly...	「インターネットのおかげで、私たちは膨大な量の情報をすぐに選別するのは得意だけど……」
「But we're bad at doing things that don't give us instant gratification.」	「一方で瞬時に満足感を得られないことをするのは不得意なの」	But we're bad at doing things that don't give us instant gratification.	「一方で、瞬時に満足感を得られないことをするのは不得意なの」
「I think if science, psychology, and education don't catch up in the next ten or twenty years, then we're in trouble.」	「科学、心理学、教育があと10年か20年のうちに追いつかないと、きっと大変なことになるわ」	I think if science, psychology, and education don't catch up in the next ten or twenty years, then we're in trouble.	「科学、心理学、教育があと10年か20年のうちに追いつかないと、きっと大変なことになるわ」
「But for the time being...」	「それまでは……」	But for the time being...	「それまでは……」
「If you're not one of the people who can conquer the problem, you might just have to live with feeling awful about yourself.」	「自分がその問題を乗り越えられない人間なら、自分を嫌に思いながら生きていくしかないみたいね」	If you're not one of the people who can conquer the problem, you might just have to live with feeling awful about yourself.	「自分がその問題を乗り越えられない人間なら、自分を嫌に思いながら生きていくしかないみたいね」
「Good luck, I guess!」	「精一杯頑張って、ってところかしらね！」	Good luck, I guess!	「精一杯がんばって、ってところかしら！」
