「Back in my debate club days, I learned a whole lot about arguing...」	「ディベート部時代には口論についてたくさん学んだわ……」	Back in my debate club days, I learned a whole lot about arguing...	「ディベート部時代には口論についてたくさん学んだわ……」
「The problem with arguing is that each person sees their opinion as the superior one.」	「口論の原因って、それぞれが最も優れた意見を持ってるって思い込んでるところなの」	The problem with arguing is that each person sees their opinion as the superior one.	「口論の原因って、自分の意見が一番優れてるって、それぞれが思い込んでるところなの」
「That's kind of stating the obvious, but it affects the way they try to get their point across.」	「当たり前のことかもしれないけど、その考えは意見の伝え方にも影響するのよ」	That's kind of stating the obvious, but it affects the way they try to get their point across.	「当たり前のことかもしれないけど、その考えは意見の伝え方にも影響するのよ」
「Let's say you really like a certain movie, right?」	「例えばあなたがすごく好きな映画があったとするじゃない？」	Let's say you really like a certain movie, right?	「例えば、あなたがすごく好きな映画があるとするじゃない？」
「If someone comes along and tells you the movie sucks, because it did X and Y wrong...」	「でも誰かがその映画を、アレをしてコレをやって失敗したからクソだと言ったら？」	If someone comes along and tells you the movie sucks, because it did X and Y wrong...	「でも誰かがその映画を、アレをしてコレをやって失敗したからクソだと言ったら？」
「Doesn't that make you feel kind of personally attacked?」	「そう言われると自分自身が攻撃されてるって感じない？」	Doesn't that make you feel kind of personally attacked?	「そう言われると、自分自身が攻撃されてるって感じない？」
「It's because by saying that, it's like they're implying that you have bad taste.」	「それはその発言に、あなたの映画の趣味が悪いって意味もほのめかされているからよ」	It's because by saying that, it's like they're implying that you have bad taste.	「それはその発言に、あなたの映画の趣味が悪いって意味もほのめかされているからよ」
「And once emotions enter the picture, it's almost guaranteed that both people will be left sour.」	「そこから感情的な口論に発展してしまったら、確実に両者は嫌な思いをして終わるわよね」	And once emotions enter the picture, it's almost guaranteed that both people will be left sour.	「そこから感情的な口論に発展してしまったら、確実に両者は嫌な思いをして終わるわよね」
「But it's all about language!」	「でも言い方で変わるのよ！」	But it's all about language!	「でも言い方で変わるのよ！」
「If you make everything as subjective-sounding as possible, then people will listen to you without feeling attacked.」	「発言をできるだけ主観的に聞こえるようにすれば、人は攻撃されたと思うことなく話を聞いてくれるわ」	If you make everything as subjective-sounding as possible, then people will listen to you without feeling attacked.	「発言をできるだけ主観的に聞こえるようにすれば、人は攻撃されたと思うことなく話を聞いてくれるわ」
「You could say 'I'm personally not a fan of it' and 'I felt that I'd like it more if it did X and Y'...things like that.」	「例えば『個人的にはそんなに好きじゃない』とか『アレやコレをしてくれたらもっと好きになれたと思う』……そんな感じね」	You could say 'I'm personally not a fan of it' and 'I felt that I'd like it more if it did X and Y'...things like that.	「例えば、『個人的にはそんなに好きじゃない』とか『アレやコレをしてくれたらもっと好きになれたと思う』……そんな感じね」
「It even works when you're citing facts about things.」	「これは物事の事実を述べる時にも使えるわ」	It even works when you're citing facts about things.	「これは物事の事実を述べる時にも使えるわ」
「If you say 'I read on this website that it works like this'...」	「例えば『このサイトで、こうなるって読んだんだ』って言ったり……」	If you say 'I read on this website that it works like this'...	「『このサイトで、こうなるって読んだんだ』って言ったり……」
「Or if you admit that you're not an expert on it...」	「あるいは専門家という訳ではないことを前置きしたり……」	Or if you admit that you're not an expert on it...	「あるいは自分が専門家というわけではないことを前置きしたり……」
「Then it's much more like you're putting your knowledge on the table, rather than forcing it onto them.」	「そうすると知識を押し付けてるんじゃなくて、共有してるように聞こえるわ」	Then it's much more like you're putting your knowledge on the table, rather than forcing it onto them.	「そうすると知識を押し付けてるんじゃなくて、共有してるように聞こえるの」
「If you put in an active effort to keep the discussion mutual and level, they usually follow suit.」	「積極的に議論を公平にするようにしていれば、大抵みんなそれに合わせるはずよ」	If you put in an active effort to keep the discussion mutual and level, they usually follow suit.	「積極的に議論を公平にするようにしていれば、大抵みんなそれに合わせるはずよ」
「Then, you can share your opinions without anyone getting upset just from a disagreement.」	「そうすることで、異議を唱えたとしても誰も怒らせることなく意見を言うことが出来るわ」	Then, you can share your opinions without anyone getting upset just from a disagreement.	「そうすることで、異議を唱えたとしても誰も怒らせることなく意見を言うことが出来るわ」
「Plus, people will start seeing you as open-minded and a good listener!」	「それに、頭が柔らかくて聞き上手だってみんなも思ってくれるようになるわよ！」	Plus, people will start seeing you as open-minded and a good listener!	「それに、頭が柔らかくて聞き上手だってみんなも思ってくれるようになるわよ！」
「It's a win-win, you know?」	「そうするとウィンウィンでしょ？」	It's a win-win, you know?	「そうするとウィンウィンでしょ？」
「...Well, I guess that would be Monika's Debate Tip of the Day!」	「……なんだかそれっぽいし、以上が本日のモニカちゃんのディベートアドバイス！」	...Well, I guess that would be Monika's Debate Tip of the Day!	「……なんだかそれっぽいし、以上が本日のモニカちゃんのディベートアドバイス！」
「Ahaha! That sounds a little silly. Thanks for listening, though.」	「あははっ！ やっぱりちょっとおかしいわね。でも聞いてくれてありがとう」	Ahaha! That sounds a little silly. Thanks for listening, though.	「あははっ！ やっぱりちょっとおかしいわね。でも聞いてくれてありがとう」
