「Gosh, I used to be so ignorant about certain things...」	「本当、昔は色んなことに関して無知だったわ……」	Gosh, I used to be so ignorant about certain things...	「本当、昔は色んなことに関して無知だったわ……」
「When I was in middle school, I thought that taking medication was an easy way out, or something like that.」	「中学生の頃は薬でなんでも簡単に治せるって思ってたもの」	When I was in middle school, I thought that taking medication was an easy way out, or something like that.	「中学生の頃は薬でなんでも簡単に治せるって思ってたもの」
「Like anyone could just solve their mental problems with enough willpower...」	「あとは精神的な問題は気力で解決できるって思ったり……」	Like anyone could just solve their mental problems with enough willpower...	「あとは精神的な問題は気力で解決できるって思ったり……」
「I guess if you don't suffer from a mental illness, it's not possible to know what it's really like.」	「精神疾患って経験してみないと実際はどんなものなのか分からないのかもしれないわね」	I guess if you don't suffer from a mental illness, it's not possible to know what it's really like.	「精神疾患って、経験してみないと実際はどんなものなのかわからないのかもしれないわね」
「Are there some disorders that are over-diagnosed? Probably...I never really looked into it, though.」	「過剰診断される病気もあるのかしら？ おそらくあるわよね……詳しく調べたことはないけど」	Are there some disorders that are over-diagnosed? Probably...I never really looked into it, though.	「過剰診断される病気もあるのかしら？ おそらくあるわよね……詳しく調べたことはないけど」
「But that doesn't change the fact that a lot of them go undiagnosed too, you know?」	「でもその一方で未診断のままの病気も多いという現実もあるのよ？」	But that doesn't change the fact that a lot of them go undiagnosed too, you know?	「でもその一方で未診断のままの病気も多いという現実があるのよ？」
「But medication aside...people even look down on seeing a mental health professional.」	「薬の話は置いといて……精神疾患の専門家にかかることを見下す人も存在するわ」	But medication aside...people even look down on seeing a mental health professional.	「薬の話は置いといて……精神疾患の専門家にかかることを見下す人も存在するわ」
「Like, sorry that I want to learn more about my own mind, right?」	「自分のことをもっとよく知りたくてごめんなさいね？ って感じよね」	Like, sorry that I want to learn more about my own mind, right?	「自分のことをもっとよく知りたがってごめんなさいね？ って感じよね」
「Everyone has all kinds of struggles and stresses...and professionals dedicate their lives to helping with those.」	「みんなそれぞれ苦労やストレスを抱えてる……そんな人々を助けるために専門家たちは人生を捧げてるわ」	Everyone has all kinds of struggles and stresses...and professionals dedicate their lives to helping with those.	「みんなそれぞれ苦労やストレスを抱えてる……そんな人々を助けるために専門家たちは人生を捧げてるわ」
「If you think it could help you become a better person, don't be shy to consider something like that.」	「もしそれを頼ることで自分を向上できそうなら、ためらわずに検討してみてね」	If you think it could help you become a better person, don't be shy to consider something like that.	「そんな人たちを頼ることで自分を向上できそうなら、ためらわずに検討してみてね」
「We're on a never-ending journey to improve ourselves, you know?」	「私たちは終わりのない成長の旅の途中なんだからね？」	We're on a never-ending journey to improve ourselves, you know?	「私たちは終わりのない成長の旅の途中なんだから」
「Well...I say that, but I think you're pretty perfect already.」	「とは言っても……あなたは今のままで充分完璧だと思うわ」	Well...I say that, but I think you're pretty perfect already.	「とは言っても……あなたは今のままで十分完璧だと思うわ」
