「Do you ever just feel like there's no real reason for you to be alive?」	「生きてる意味がないって感じることはない？」	Do you ever just feel like there's no real reason for you to be alive?	「生きてる意味がないって感じることはない？」
「I don't mean in, like, a suicidal way.」	「自殺したいという意味じゃなくて」	I don't mean in, like, a suicidal way.	「自殺したいという意味じゃなくて」
「I just mean how nothing that we do is special.」	「ただ何をするにも特別な意味はないでしょ」	I just mean how nothing that we do is special.	「何をするにも特別な意味はないでしょってこと」
「Just being in school, or working at some job for some company.」	「ただ学校に通ったり、どこかの会社で何かの仕事することが……」	Just being in school, or working at some job for some company.	「ただ学校に通ったり、どこかの会社で何かの仕事したりすることなんて……」
「It's like you're completely replaceable, and the world wouldn't miss you if you were gone.」	「代わりなんていくらでもいるし、いなくなっても誰にも気にされないって感じない？」	It's like you're completely replaceable, and the world wouldn't miss you if you were gone.	「代わりはいくらでもいるし、自分がいなくなっても誰にも気にされないって感じしない？」
「It makes me really want to go and change the world after I graduate.」	「そう思うと、卒業したら絶対世界を変えてやる、って気持ちになるの」	It makes me really want to go and change the world after I graduate.	「そう思うと、私、卒業したら絶対世界を変えてやる、って気持ちになるの」
「But the older I get, the more I realize that it's an immature frame of thinking.」	「でも成長するにつれて、なんて幼稚な考えなんだろう、ってつくづく思うの」	But the older I get, the more I realize that it's an immature frame of thinking.	「でも成長するにつれて、なんて幼稚な考えなんだろう、ってつくづく思う」
「It's not like I can just go change the world.」	「世界を変えるだなんてそう簡単じゃないし」	It's not like I can just go change the world.	「世界を変えるだなんてそう簡単じゃない」
「Like, what are the chances that I'll be the one to invent artificial intelligence, or become President?」	「だって人工知能を発明したり、大統領になれる可能性はどれほどのものなの？」	Like, what are the chances that I'll be the one to invent artificial intelligence, or become President?	「だって人工知能を発明したり、大統領になれる可能性はどれほどのものなの？」
「It feels like I'm never going to make up for the heaps of resources I've spent living my life.」	「私が生きるために消費してしまう莫大な資源の恩を一生かけても返せる気がしないのよ」	It feels like I'm never going to make up for the heaps of resources I've spent living my life.	「私が生きるために消費してしまう莫大な資源の恩を、一生かけても返せる気がしないのよ」
「That's why I think the key to happiness is to just be hopelessly selfish.」	「だから幸せになる秘訣って、どうしようもなくわがままになることだと思うの」	That's why I think the key to happiness is to just be hopelessly selfish.	「だから幸せになる秘訣って、どうしようもなくわがままになることだと思うの」
「Just to look out for oneself, and those who happen to be their friends only because they grew up with them.」	「自分自身と、成長期が重なったからたまたま周りにいただけの友達を気にかけて」	Just to look out for oneself, and those who happen to be their friends only because they grew up with them.	「自分自身と、成長期が重なったからたまたま周りにいただけの友達を気にかけて」
「Never mind the fact that they're spending their entire life taking, and consuming, and never giving back.」	「みんなが世界から貰い続けて、消費し続けて、一生その恩を返すことがないという現実は無視してね」	Never mind the fact that they're spending their entire life taking, and consuming, and never giving back.	「みんなが世界から貰い続けて、消費し続けて、一生その恩を返すことがないという現実は無視してね」
「But when people realize the world would benefit more from them killing themselves, they change their whole philosophy!」	「でも死んだ方が世界のためだということに気付くと、人の人生観は変わってしまうのよ！」	But when people realize the world would benefit more from them killing themselves, they change their whole philosophy!	「でも死んだ方が世界のためだということに気付くと、人の人生観は変わってしまうのよ！」
「It's like they have to justify their reason to live by tricking themselves into thinking they're doing good.」	「自分は役に立ってるんだ、って思い込んで生き続けることを正当化しないといけなくなるみたいなの」	It's like they have to justify their reason to live by tricking themselves into thinking they're doing good.	「自分は役に立ってるんだ、って思い込んで、生き続けることを正当化しないといけなくなるみたいなの」
「Anyway, I want to live my life desperately striving to pay back my lifetime's worth of consumption.」	「とにかく、私は自分が一生で消費する資源の恩返しをするために生きていきたいの」	Anyway, I want to live my life desperately striving to pay back my lifetime's worth of consumption.	「とにかく、私は自分が一生で消費する資源の恩返しをするために生きていきたいの」
「If I ever surpass that point, then I'm a net positive, and I can die happy.」	「それをいつか達成できたら、私にとっては総合的にはポジティブだから幸せに死ねるわ」	If I ever surpass that point, then I'm a net positive, and I can die happy.	「それをいつか達成できたら、私にとっては総合的にポジティブだから、幸せに死ねるわ」
「Of course, even if I fail to do that...」	「もちろん、達成できなかったら……」	Of course, even if I fail to do that...	「もちろん、達成できなかったら……」
「I think I would be too selfish to kill myself anyway.」	「いえ、自殺するには私は利己的すぎるわ」	I think I would be too selfish to kill myself anyway.	「いえ、自殺するには私は利己的すぎるわ」
「So much for being a good person, right?」	「いい人であり続けるのは難しいわね？」	So much for being a good person, right?	「いい人であり続けるのは難しいわね？」
「Ahaha!」	「あはは！」	Ahaha!	「でしょ！？」
